Rank,Model,Accuracy,Precision,Recall,F1,ROC_AUC,FN,FN_Rate
0,Gradient Boosting,0.7468,0.6531,0.5926,0.6214,0.8294,22,0.407
1,Random Forest,0.7662,0.6607,0.6852,0.6727,0.8293,17,0.315
2,ANN,0.7143,0.6042,0.537,0.5686,0.8193,25,0.463
3,SVM,0.7078,0.6047,0.4815,0.5361,0.8169,28,0.519
4,Logistic Regression,0.6948,0.5745,0.5,0.5347,0.8126,27,0.5
5,DNN,0.7273,0.6071,0.6296,0.6182,0.802,20,0.37
6,Decision Tree,0.7857,0.6981,0.6852,0.6916,0.7887,17,0.315
7,KNN,0.7403,0.6458,0.5741,0.6078,0.7852,23,0.426
8,LSTM,0.7403,0.6591,0.537,0.5918,0.7789,25,0.463
9,Naive Bayes,0.7013,0.5667,0.6296,0.5965,0.7646,20,0.37
